日期,湖北,香港,广东,浙江,河南,湖南,安徽,上海,黑龙江,江西,北京,新疆,山东,四川,江苏,重庆,台湾,陕西,福建,河北,辽宁,内蒙古,广西,天津,云南,山西,海南,甘肃,吉林,贵州,宁夏,澳门,青海,西藏,累计确诊,每日新增
2020-1-20,270,0,14,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,290
2020-1-21,375,0,23,5,1,1,0,9,0,2,10,0,0,2,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,435,145
2020-1-22,444,1,32,27,5,9,4,16,1,3,14,0,0,5,0,9,1,0,1,1,2,0,2,4,0,0,4,0,0,1,1,1,0,0,588,153
2020-1-23,549,2,53,43,9,24,15,20,4,7,26,2,0,15,9,27,1,3,3,2,4,1,13,5,0,1,8,2,2,3,2,2,0,0,857,269
2020-1-24,729,5,78,62,32,43,39,33,9,18,36,3,21,28,18,57,3,5,10,8,12,2,23,8,3,6,11,4,4,4,3,2,0,0,1319,462
2020-1-25,1052,5,98,104,83,69,60,40,15,36,51,4,39,44,31,75,3,15,18,13,17,7,33,10,11,9,20,7,4,5,4,2,1,0,1985,666
2020-1-26,1423,8,146,128,128,100,70,53,21,48,72,5,63,69,47,110,4,22,35,18,21,11,46,14,19,13,27,14,6,7,7,5,4,0,2764,779
2020-1-27,2714,8,188,173,168,143,106,66,30,72,80,10,87,90,70,132,5,35,59,33,27,13,51,23,26,20,38,18,8,9,11,7,6,0,4526,1762
2020-1-28,3554,8,241,296,206,221,152,80,37,109,91,13,121,108,99,147,8,46,82,48,36,16,58,24,51,27,43,23,9,9,12,7,6,0,5988,1462
2020-1-29,4586,10,311,428,278,277,200,101,43,162,111,14,145,142,129,165,8,56,101,65,41,18,78,27,70,35,46,25,14,12,17,7,6,1,7729,1741
2020-1-30,5806,12,393,537,352,332,237,128,59,240,132,17,178,177,168,206,9,63,120,82,45,20,87,31,80,39,49,29,14,15,21,7,8,1,9694,1965
2020-1-31,7153,13,535,599,422,389,297,169,80,286,156,18,202,207,202,238,10,87,144,96,63,23,100,32,91,47,57,35,17,29,26,7,9,1,11840,2146
2020-2-1,9074,14,604,661,493,463,340,177,95,333,183,21,225,231,236,262,10,101,159,104,64,27,111,41,99,56,62,40,23,38,28,7,9,1,14392,2552
2020-2-2,11177,15,683,724,566,521,408,193,118,391,212,24,246,254,271,300,10,116,179,113,70,34,127,48,109,66,69,51,31,46,31,8,13,1,17225,2833
2020-2-3,13522,15,797,829,675,593,480,208,155,476,228,29,270,282,308,337,10,128,194,126,74,35,139,60,117,74,78,55,42,56,34,8,15,1,20450,3225
2020-2-4,16678,18,870,895,764,661,530,233,190,548,253,32,298,301,341,366,11,142,205,135,77,42,150,67,122,81,89,57,54,64,34,10,17,1,24336,3886
2020-2-5,19665,21,944,954,851,711,591,254,227,600,274,36,343,321,373,389,11,165,215,157,89,46,168,69,128,90,100,62,59,69,40,10,18,1,28051,3715
2020-2-6,22112,24,1018,1006,914,772,665,269,277,661,297,39,379,344,408,411,16,173,224,171,94,50,172,79,135,96,111,67,65,77,43,10,18,1,31198,3147
2020-2-7,24953,26,1075,1048,981,803,733,281,295,698,315,42,407,363,439,426,16,184,239,195,99,52,183,81,138,104,122,71,69,89,45,10,18,1,34601,3403
2020-2-8,27100,26,1120,1075,1033,838,779,292,307,740,326,45,435,386,468,446,17,195,250,206,105,54,195,88,140,115,128,79,78,96,45,10,18,1,37236,2635
2020-2-9,29631,36,1151,1092,1073,879,830,295,331,771,337,49,459,405,492,468,18,208,261,218,107,58,210,91,141,119,136,83,80,109,49,10,18,1,40216,2980
2020-2-10,31728,42,1177,1117,1105,912,860,302,360,804,342,55,486,417,515,486,18,213,267,239,108,58,215,95,149,122,142,86,81,118,53,10,18,1,42701,2485
2020-2-11,33366,49,1219,1131,1135,946,889,306,378,844,352,59,497,436,543,505,18,219,272,251,111,60,222,106,154,124,145,86,83,131,58,10,18,1,44724,2023
2020-2-12,48206,50,1241,1145,1169,968,910,313,395,872,366,63,506,451,570,518,18,225,279,265,116,61,222,112,155,126,157,87,84,135,64,10,18,1,59878,15154
2020-2-13,51986,53,1261,1155,1184,988,934,318,418,900,372,65,519,463,593,529,18,229,281,283,117,65,226,117,162,126,158,90,86,135,67,10,18,1,63927,4049
2020-2-14,54406,56,1294,1162,1212,1001,950,326,425,913,372,70,530,470,604,537,18,230,285,291,119,68,235,120,168,127,162,90,88,143,70,10,18,1,66571,2644
2020-2-15,56249,56,1316,1167,1231,1004,962,328,445,925,380,71,537,481,617,544,18,236,287,300,120,70,237,122,169,128,162,90,89,144,70,10,18,1,68584,2013
2020-2-16,58182,57,1322,1171,1246,1006,973,331,457,930,381,75,541,495,626,551,20,240,290,301,121,72,238,124,171,129,162,90,89,146,70,10,18,1,70636,2052
2020-2-17,59989,60,1328,1172,1257,1007,982,333,464,933,387,76,543,508,629,553,22,240,292,302,121,73,242,125,172,130,163,91,89,146,70,10,18,1,72528,1892
2020-2-18,61682,62,1331,1173,1262,1008,986,333,470,934,393,76,544,514,631,555,22,242,293,306,121,75,244,128,173,131,163,91,90,146,71,10,18,1,74279,1751
2020-2-19,62031,65,1332,1175,1265,1010,987,333,476,934,395,76,546,520,631,560,24,245,293,307,121,75,245,130,172,131,168,91,91,146,71,10,18,1,74675,396
2020-2-20,63088,68,1333,1203,1267,1011,988,334,479,934,396,76,748,525,631,567,24,245,293,308,121,75,246,131,174,132,168,91,91,146,71,10,18,1,75993,1318
2020-2-21,63454,68,1339,1205,1270,1013,989,334,479,934,399,76,750,526,631,572,26,245,293,309,121,75,249,133,174,132,168,91,91,146,71,10,18,1,76392,399
2020-2-22,64084,69,1342,1205,1271,1016,989,335,480,934,399,76,754,526,631,573,26,245,293,311,121,75,249,135,174,132,168,91,91,146,71,10,18,1,77041,649
2020-2-23,64287,74,1345,1205,1271,1016,989,335,480,934,399,76,755,527,631,575,28,245,293,311,121,75,251,135,174,132,168,91,93,146,71,10,18,1,77262,221
2020-2-24,64786,81,1347,1205,1271,1016,989,335,480,934,400,76,755,529,631,576,30,245,294,311,121,75,252,135,174,133,168,91,93,146,71,10,18,1,77779,517
2020-2-25,65187,85,1347,1205,1271,1016,989,336,480,934,400,76,756,531,631,576,31,245,294,312,121,75,252,135,174,133,168,91,93,146,71,10,18,1,78190,411
2020-2-26,65596,91,1347,1205,1272,1017,989,337,480,934,410,76,756,534,631,576,32,245,296,317,121,75,252,135,174,133,168,91,93,146,72,10,18,1,78630,440
2020-2-27,65914,93,1348,1205,1272,1017,990,337,480,935,410,76,756,538,631,576,32,245,296,318,121,75,252,136,174,133,168,91,93,146,72,10,18,1,78959,329
2020-2-28,66337,94,1349,1205,1272,1018,990,337,480,935,411,76,756,538,631,576,34,245,296,318,121,75,252,136,174,133,168,91,93,146,73,10,18,1,79389,430
2020-2-29,66907,95,1349,1205,1272,1018,990,337,480,935,413,76,756,538,631,576,39,245,296,318,122,75,252,136,174,133,168,91,93,146,73,10,18,1,79968,579
2020-3-1,67103,98,1350,1205,1272,1018,990,337,480,935,414,76,758,538,631,576,40,245,296,318,122,75,252,136,174,133,168,91,93,146,74,10,18,1,80173,205
2020-3-2,67217,100,1350,1213,1272,1018,990,338,480,935,414,76,758,538,631,576,41,245,296,318,125,75,252,136,174,133,168,91,93,146,74,10,18,1,80302,129
2020-3-3,67332,100,1350,1213,1272,1018,990,338,480,935,417,76,758,538,631,576,42,245,296,318,125,75,252,136,174,133,168,91,93,146,75,10,18,1,80422,120
2020-3-4,67466,104,1350,1215,1272,1018,990,338,481,935,418,76,758,539,631,576,42,245,296,318,125,75,252,136,174,133,168,91,93,146,75,10,18,1,80565,143
2020-3-5,67592,104,1351,1215,1272,1018,990,339,481,935,422,76,758,539,631,576,44,245,296,318,125,75,252,136,174,133,168,102,93,146,75,10,18,1,80710,145
2020-3-6,67666,107,1352,1215,1272,1018,990,342,481,935,426,76,758,539,631,576,45,245,296,318,125,75,252,136,174,133,168,119,93,146,75,10,18,1,80813,103
2020-3-7,67707,109,1352,1215,1272,1018,990,342,481,935,428,76,758,539,631,576,45,245,296,318,125,75,252,136,174,133,168,120,93,146,75,10,18,1,80859,46
2020-3-8,67743,114,1352,1215,1272,1018,990,342,481,935,428,76,758,539,631,576,45,245,296,318,125,75,252,136,174,133,168,124,93,146,75,10,18,1,80904,45
2020-3-9,67760,115,1353,1215,1272,1018,990,342,481,935,429,76,758,539,631,576,45,245,296,318,125,75,252,136,174,133,168,124,93,146,75,10,18,1,80924,20
2020-3-10,67773,120,1353,1215,1272,1018,990,344,482,935,435,76,759,539,631,576,47,245,296,318,125,75,252,136,174,133,168,125,93,146,75,10,18,1,80955,31
2020-3-11,67781,129,1356,1215,1272,1018,990,344,482,935,435,76,760,539,631,576,48,245,296,318,125,75,252,136,174,133,168,127,93,146,75,10,18,1,80979,24
2020-3-12,67786,131,1356,1215,1273,1018,990,346,482,935,436,76,760,539,631,576,49,245,296,318,125,75,252,136,174,133,168,127,93,146,75,10,18,1,80991,12
2020-3-13,67790,137,1356,1227,1273,1018,990,350,482,935,437,76,760,539,631,576,50,245,296,318,125,75,252,136,174,133,168,129,93,146,75,10,18,1,81021,30
2020-3-14,67794,141,1357,1231,1273,1018,990,353,482,935,442,76,760,539,631,576,53,245,296,318,125,75,252,136,174,133,168,132,93,146,75,10,18,1,81048,27
2020-3-15,67798,148,1361,1231,1273,1018,990,355,482,935,446,76,760,539,631,576,59,245,296,318,125,75,252,136,175,133,168,133,93,146,75,10,18,1,81077,29
